%,GPST,latitude(deg),longitude(deg),height(m),Q,ns,sdn(m),sde(m),sdu(m),sdne(m),sdeu(m),sdun(m),age(s),ratio
2185,328453.8,45.83300415,-110.9373056,2528.2487,1,8,0.0156,0.0126,0.0295,-0.0077,0.0132,-0.0108,-16.2,999.9
2185,328454,45.83300712,-110.9373004,2527.8283,1,8,0.0155,0.0125,0.0292,-0.0076,0.0131,-0.0107,-16,999.9
2185,328454.2,45.83301007,-110.9372952,2527.4074,1,8,0.0153,0.0123,0.0289,-0.0076,0.013,-0.0107,-15.8,999.9
2185,328454.4,45.83301303,-110.9372902,2526.9729,1,8,0.0152,0.0122,0.0286,-0.0075,0.0128,-0.0106,-15.6,999.9
2185,328454.6,45.83301602,-110.9372851,2526.5318,1,8,0.015,0.0121,0.0283,-0.0074,0.0127,-0.0105,-15.4,999.9
2185,328454.8,45.83301892,-110.93728,2526.0837,1,8,0.0149,0.012,0.028,-0.0073,0.0125,-0.0104,-15.2,999.9
2185,328455,45.83302183,-110.9372748,2525.6565,1,8,0.0147,0.0118,0.0277,-0.0072,0.0124,-0.0103,-15,999.9
2185,328455.2,45.83302476,-110.9372697,2525.2324,1,8,0.0146,0.0117,0.0274,-0.0072,0.0123,-0.0102,-14.8,999.9
2185,328455.4,45.8330276,-110.9372646,2524.807,1,8,0.0144,0.0116,0.0271,-0.0071,0.0121,-0.0101,-14.6,999.9
2185,328455.6,45.83303055,-110.9372595,2524.3925,1,8,0.0143,0.0114,0.0268,-0.007,0.012,-0.01,-14.4,999.9
2185,328455.8,45.83303372,-110.9372541,2523.9649,1,8,0.0141,0.0113,0.0265,-0.0069,0.0118,-0.0099,-14.2,999.9
2185,328456,45.83303722,-110.9372488,2523.5496,1,8,0.014,0.0112,0.0262,-0.0069,0.0117,-0.0098,-14,999.9
2185,328456.2,45.83304079,-110.9372436,2523.138,1,8,0.0138,0.011,0.0259,-0.0068,0.0116,-0.0097,-13.8,999.9
2185,328456.4,45.83304427,-110.9372383,2522.7253,1,8,0.0137,0.0109,0.0257,-0.0067,0.0114,-0.0096,-13.6,999.9
2185,328456.6,45.83304753,-110.9372329,2522.2988,1,8,0.0136,0.0108,0.0254,-0.0066,0.0113,-0.0095,-13.4,999.9
